Image ID,Image.name,Annotation status,Points,AcrCerv,AcrPalm,AgAga,AgTen,AgUnd,BL_OrbFav,BORB,CoNat,DiplLab,FaviaFrag,MontaCav,OrbAnn,OrbFav,OrbFrank,PorAstr,Por_branch,PorPor,PseuCliv,PseuStrig,Siderastr,SidSid,ANEM,Feat_dust,GORG-BRI,Gorg_Fan,Gorg_Plume,Gorg_Whip,Hydra,Millepora,PCAR,Spong_Crus,Spong_Erec,Spong_Glo,Film_Sand,Sand,Bare_Rock,CCA_LR,Cyano_HR,Cyano_LR,Cyano_RBL,Cyano_Sand,Debris,ACA,Brown_Enc,Brown_UFM,CCA_HR,CCA_RBL,Dictyota,EAM_HR,EAM_LR,EAM_RBL,Green_UFM,Halimeda,Lobophora,Mac_matrix,Red_Enc,Red_UFM,Sargassum,Ulva,SyrFil,ThalTes
6097800,Belize2025_reefCensus_photoquadrats_CBC_20250625_T2_Q06_25m_P6250573_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,36,0,4,0,0,0,0,0,0,0,8,0,0,12,0,20,16,0,0,0,0,0,0,0,0,0,0
6097801,Belize2025_reefCensus_photoquadrats_CBC_20250625_T2_Q07_20m_P6250265_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,4,0,4,24,12,0,0,0,0,0,0,12,0,0,0,0
6097802,Belize2025_reefCensus_photoquadrats_CBC_20250625_T2_Q08_15m_P6250577_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,60,0,0,0,0,0,0,0,0,0,0
6097803,Belize2025_reefCensus_photoquadrats_CBC_20250625_T2_Q09_10m_P6250225_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44,12,0,0,0,4,0,8,0,0,0,0
6097804,Belize2025_reefCensus_photoquadrats_CBC_20250625_T2_Q10_5m_P6250582_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,36,0,16,0,4,0,0,8,0,20,0,0,0,0,0,0
6097805,Belize2025_reefCensus_photoquadrats_CBC_20250625_T3_Q01_50m_P6250270_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,16,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,52,0,0,0,0,4,0,0,0,0,0,0
6097806,Belize2025_reefCensus_photoquadrats_CBC_20250625_T3_Q02_45m_P6250587_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,16,0,0,0,12,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
6097807,Belize2025_reefCensus_photoquadrats_CBC_20250625_T3_Q03_40m_P6250280_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,4,0,0,0,0,0,0
6097808,Belize2025_reefCensus_photoquadrats_CBC_20250625_T3_Q04_35m_P6250592_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,4,12,0,0,0,0,0,4,0,0,0,0,0,4,56,0,0,0,0,4,0,0,0,0,0,0
6097809,Belize2025_reefCensus_photoquadrats_CBC_20250625_T3_Q05_30m_P6250290_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,48,0,0,0,0,0,0,0,0,0,0
